,tweet,date
163,"Siendo justos, #CamNewton se jugó un partidazo. Solo que el equipo dependió de UNA JUGADA, a falta de 2 segundos.… https://t.co/fVU3f7wEnE",2020-09-21 04:14:00
164,@iam_johnw Damn that mf was in his hands 🤦🏾‍♂️ #CamNewton,2020-09-21 04:13:10
165,WHAT a football game! What an ending. #CamNewton is back...and the #Patriots are no joke! And yet another MVP perfo… https://t.co/J5214IaRrR,2020-09-21 04:11:02
166,"The #Seahawks and #Patriots never disappoint❗️😵 

#SNF #NFL #CamNewton #RussellWilson #LJCollier #LanoHill https://t.co/AAqmHSyITj",2020-09-21 04:10:51
167,Tom Brady seeing Julian Edelman set a career high in receiving yards with another man. #CamNewton https://t.co/j2vPpqVMtz,2020-09-21 04:10:41
168,#camnewton  needs a reliable tight end to throw to in the red zone,2020-09-21 04:09:32
169,"No one:

#CamNewton doing a flip all way from the 5 yard line with the game on the line! Lol Geez!! #really… https://t.co/IlScJQFwtu",2020-09-21 04:08:36
170,#CamNewton https://t.co/EYjg6oSp2W,2020-09-21 04:08:31
171,"Love Russ, but #CamNewton is my main main man. Great game Cam. Welcome back.!!",2020-09-21 04:08:20
172,#SNFonNBC #NEvsSEA #CamNewton #SuperCam #WDE https://t.co/eIJmThDlx0 https://t.co/DFZehzh8ql,2020-09-21 04:07:04
173,New England Patriots 30-35 Seattle Seahawks - 2020 NFL Season Week 2 Rec... https://t.co/yrtzC3jTF1 via @YouTube… https://t.co/wr3pVmWRhd,2020-09-21 04:05:38
174,Biggest mistake in franchise history letting him go #CamNewton https://t.co/amZfZezpBo,2020-09-21 04:04:04
175,"I never feel good about losses...but for once I do. #GOPATS #CamNewton 

Hey @RobynMundyWYO @always_az @Bills_Chick… https://t.co/hzTLIeB8Gx",2020-09-21 04:03:49
176,@JumboHart #joshmcdaniels was one series too late with abandoning the run.  #CamNewton was incredible.  #patriots #NewEnglandPatriots,2020-09-21 04:02:45
177,@CameronNewton @Patriots  My Granny cheered for you till the end! #CamNewton #patriotnation #granny #grandma… https://t.co/ZN3MOjKp25,2020-09-21 04:02:19
178,"Touch weekend Nuggets lose, Chelsea lose and Patriots lose. Only spark is that ManU lost as well. Gonna eat some cu… https://t.co/M4LF8zRKu0",2020-09-21 04:02:14
179,"A pesar del resultado, creo que hay potencial #NFL #SNF #Patriots #CamNewton",2020-09-21 04:02:09
180,"Watching @DangeRussWilson play is like watching poetry in motion.

For me personally, he's the best QB in the leagu… https://t.co/flZ9Vn07nx",2020-09-21 04:00:53
181,@MikeClayNFL Cam newton will bring them to the playoffs maybe even the superbowl #CamNewton,2020-09-21 04:00:09
182,Let's get a deep threat. #patsnation #camnewton https://t.co/uExzvr8wpt,2020-09-21 04:00:04
183,"@EugeniaR_ Creo que con el nivel mostrado hoy de #CamNewton y del equipo se gana la división, aunque deben de ampli… https://t.co/E8nGx0hsQB",2020-09-21 03:59:06
184,The #Patriots really got #CamNewton for minimum wage smh. #Seahawks #NEvsSEA #GoHawks 💙💚🏈,2020-09-21 03:57:59
185,"@minakimes I bet the #Pats wish they saved that #CamNewton dive fake then sneak the fullback out for a gimme TD, to… https://t.co/CQWPccAhZq",2020-09-21 03:57:18
186,@stoolpresidente Newton looked about as desperate to get in the end zone as he did trying to recover the infamous f… https://t.co/8P37qXvVAn,2020-09-21 03:57:09
187,Think about this ... nobody wanted #CamNewton ... He was just sitting right there for anyone to have. The #Patriots… https://t.co/dMRWLNEggj,2020-09-21 03:56:30
